Record,Value Speed 15 RPS,Value Speed 45 RPS
1,62.03312154,33.18487608
2,64.5708081,33.75855461
3,61.06897249,32.96243471
4,59.16420409,37.61540929
5,58.64722427,35.02733464
6,57.7578645,33.9427245
7,55.69065831,35.8472094
8,29.50150687,35.30408062
9,28.26724751,20.0290776
10,29.54739617,20.51379688
11,29.287328,23.02569419
12,32.39313026,23.62254115
13,33.5884557,23.77433391
14,32.67593571,24.09956729
15,32.48347717,22.97484874
16,34.17073081,15.15052346
17,31.55973536,18.79359555
18,31.6054821,19.97273941
19,30.19673975,23.89522637
20,29.70168396,21.82252879
21,27.24163245,25.15197271
22,28.52040579,26.45862056
23,28.41589371,25.99882887
24,29.12347326,25.73565292
25,23.219162,38.74912589
26,26.33456407,37.34225839
27,28.57985867,38.0074899
28,29.06655719,35.50172162
29,30.81133641,37.16480574
30,28.74326742,36.96075841
31,29.24706142,35.41390905
32,29.80768669,32.24003737
33,26.7063616,10.11543453
34,26.73407191,9.244269853
35,24.75769491,9.300347293
36,24.41454561,9.303207159
37,25.08511731,9.810895483
38,25.37660802,9.675041152
39,26.53646768,10.25978071
40,22.97611194,10.98677193
41,24.63732371,7.838550781
42,26.13529873,7.703321802
43,26.90596092,7.846963567
44,28.16041851,7.649901477
45,30.36129941,8.261933687
46,31.19725174,8.791813354
47,31.9368109,7.991703152
48,33.34433783,7.864714274
49,29.26105068,7.452111891
50,29.4949853,8.282136064
51,30.70301927,9.120200428
52,31.30444933,8.522591296
53,31.80724087,9.210233987
54,32.94296697,8.684403596
55,34.61830976,10.19199679
56,35.63311969,10.48298636
57,52.17547347,8.352818683
58,45.73998784,8.235733397
59,45.57165372,8.990788229
60,43.52397015,9.277069907
61,43.55520465,9.4939121
62,43.08926373,8.812885836
63,42.43139259,9.087799671
64,18.75978557,12.62707308
65,17.18071566,9.936987353
66,17.20818436,9.349308098
67,15.78671612,8.947076502
68,16.77320848,8.031003903
69,16.2514911,8.524443468
70,15.80134559,8.71706265
71,16.39980232,8.717725557
72,15.79132787,8.355953872
73,17.65600914,9.942094412
74,19.34309795,8.805285576
75,20.36395414,9.417195624
76,20.69923968,8.74738836
77,20.9358297,8.705617147
78,22.05990861,9.834270889
79,21.83765979,9.662429175
80,22.935356,10.25272364
81,22.89634145,14.29716957
82,21.6772792,14.06006875
83,22.11187152,12.41087338
84,23.83314855,13.80060228
85,22.0544375,12.62915389
86,22.4601885,12.31314173
87,22.52361813,12.5389488
88,23.49719989,12.01125016
89,18.00108162,16.4641796
90,15.84980976,16.23369224
91,17.35672537,15.43913655
92,17.83421529,14.24664694
93,19.00690616,13.98684112
94,18.64547953,13.84036832
95,18.6591755,13.91820402
96,12.15246884,14.11331798
97,13.44978618,15.07517351
98,15.3912039,13.61261847
99,18.46558195,13.24656711
100,22.09262299,12.94074025
101,22.94688519,12.49932492
102,24.04600181,13.1396248
103,23.45809533,12.96494437
104,25.01144229,15.15541921
105,20.1038394,15.29594284
106,22.35668019,14.52211833
107,23.79868655,14.42108797
108,26.41480498,13.42132668
109,28.27319637,12.58850418
110,28.36984799,12.66706979
111,28.24493239,13.11657432
112,29.32040614,12.19488377
113,12.15931841,14.61900647
114,11.83398463,14.92736622
115,11.89422547,18.52847482
116,11.11818558,16.85247739
117,10.74435368,17.06124302
118,10.84740763,18.38586505
119,10.78219728,16.79829496
120,16.0405236,16.14758336
121,14.51351201,12.74255777
122,13.88288631,13.2507085
123,13.26992781,13.30843244
124,13.38387962,12.81190838
125,13.15809269,12.74146303
126,13.20744769,13.02947391
127,13.08771319,13.46968061
128,18.35482061,12.6369768
129,16.93857319,12.40683388
130,15.24658125,13.21567127
131,14.41679292,12.26319513
132,13.51169298,12.39545473
133,13.2878357,13.05516599
134,13.69820723,12.13652162
135,13.77465336,11.44343622
136,13.58484845,11.71734533
137,17.60547078,13.31867574
138,17.01209379,12.91442948
139,18.08473531,12.81234974
140,18.43760323,12.51670448
141,18.86265835,11.77444859
142,18.35712599,11.74513673
143,17.37513944,11.96218651
144,17.54534436,15.94247323
145,20.16309011,13.6725002
146,19.17099871,12.83794698
147,20.73876031,12.51995224
148,21.01539409,13.22806191
149,20.88736641,12.36508222
150,21.54418884,11.56758118
151,21.0779911,11.02423397
152,20.45313258,11.21281459
153,19.67765031,14.40080553
154,18.70251542,13.52590003
155,20.23904301,12.03934892
156,20.32867016,10.6782272
157,19.40903702,10.68348474
158,18.69182036,10.03764242
159,19.40675933,9.704496536
160,18.14898228,10.13046164
161,17.99813787,10.12094415
162,17.97767357,9.624207224
163,20.1717687,9.395892272
164,18.21087009,9.450164163
165,17.52963379,9.115976765
166,17.29612703,8.55595995
167,17.47081749,7.947616427
168,23.28197768,8.10443967
169,21.52439461,8.40895259
170,19.86907415,8.337224108
171,25.8351287,7.862244348
172,23.59332647,8.067803767
173,24.58747003,8.456481434
174,22.04697336,7.240547093
175,21.24776063,7.792651127
176,21.67700356,7.435396617
177,20.87420888,7.567472012
178,19.88912946,8.530173848
179,19.63397036,8.011405829
180,19.58441447,7.839442294
181,18.36344053,6.040103767
182,17.97597382,7.060927084
183,18.59614174,7.296142656
184,18.60294411,6.897819202
185,17.99355694,6.142152639
186,18.97775082,5.658175951
187,18.64000828,6.513695285
188,18.53436149,6.377927852
189,17.87701074,5.092988242
190,17.87423185,5.727878353
191,20.13085862,5.805184946
192,19.38274855,6.129254116
193,19.08600936,6.019818976
194,18.44949776,5.878803132
195,21.05122578,5.901172406
196,19.43852527,5.40009916
197,18.76231708,4.386461334
198,18.4573235,3.446848841
199,18.56215069,4.951646536
200,18.2842107,5.175933248
201,18.71619981,6.235908725
202,17.70867913,6.083892399
203,23.390681,6.33172066
204,19.68132567,6.055502028
205,18.70765653,6.237447048
206,18.11534083,8.627303862
207,20.01107096,8.272939603
208,19.72122204,5.921152259
209,18.20097,6.603396346
210,17.68596281,6.621957027
211,20.94591929,8.179066888
212,21.72421729,7.928425169
213,19.02335516,7.116200139
214,19.317808,9.102540728
215,19.09130796,6.985048593
216,23.74432922,8.07140372
217,19.36991921,9.332120129
218,18.88113272,9.471340197
219,19.76513304,8.630671697
220,21.35031031,11.43618639
221,27.08209876,9.146608332
222,29.26308963,7.721964114
223,26.69891146,7.939406823
224,22.29938954,7.469855315
225,24.04251849,8.802058006
226,20.0703445,8.305296555
227,18.90942373,9.690133462
228,18.66854952,12.53119639
229,22.22107624,10.80532843
230,18.53001256,7.414110965
231,17.8739159,10.3604757
232,17.85718564,7.492031033
233,21.37814339,11.37919925
234,18.89286746,8.306908355
235,17.61069231,8.07292626
236,17.56803994,9.351382808
237,16.76301986,8.282908751
238,16.28874161,9.596733041
239,16.72488127,9.353228543
240,16.61548115,10.55799194
241,17.56686365,10.78050755
242,19.82336059,9.765829516
243,16.69219665,10.12659958
244,16.249473,9.239247887
245,15.96097737,10.55552961
246,15.73592455,10.40349409
247,15.76871259,8.804369169
248,18.05220619,9.929035611
249,16.37122015,8.4153387
250,16.24362104,11.23413544
251,29.02234148,22.15718987
252,29.06863931,19.84627452
253,28.82227248,19.12058814
254,28.46084566,19.47585176
255,28.67308077,17.57398813
256,28.52315365,19.20849792
257,29.62843524,18.55647897
258,29.00780107,17.75640675
259,25.83615961,20.96331194
260,25.79496407,20.99796309
261,26.25536744,21.30240818
262,26.18405172,22.58071363
263,26.90847317,20.99576158
264,26.2958265,21.58626205
265,26.3861058,22.03193851
266,26.02748828,21.80098012
267,27.17573461,20.17711683
268,27.1595822,21.56435897
269,26.95917394,21.32200777
270,26.94064367,22.19324683
271,27.50187838,19.07663679
272,27.66154351,18.97341641
273,28.88211034,20.00855036
274,28.63436998,18.30613693
275,27.13614207,18.3185839
276,27.62443304,17.96086127
277,26.71055738,16.16890155
278,26.27961354,16.33613192
279,26.75501167,17.98838063
280,26.66486915,17.94171257
281,26.40951135,16.44243142
282,26.34023819,15.64416844
283,35.65879519,24.47658047
284,34.80263427,23.96873853
285,32.85577306,22.20845697
286,32.37951089,21.68881109
287,31.4252788,20.94861811
288,31.2431188,20.34318122
289,31.07052631,19.14090677
290,31.02728354,18.77125252
291,35.16568903,20.43973488
292,35.80299826,20.41523878
293,36.26589979,20.47490346
294,35.94547243,20.12433538
295,35.34118857,20.1252137
296,36.5875657,19.84767642
297,35.64655961,19.39053945
298,37.41348746,19.64378039
299,43.78704407,26.16379496
300,43.02888854,26.52588266
301,41.59264446,24.83795363
302,41.91226691,22.17706237
303,43.4531027,24.20023818
304,43.47941285,22.48682967
305,44.00923071,22.81482045
306,44.32115453,22.91674696
307,59.89285327,46.79682849
308,59.73939137,48.11280265
309,57.33761396,43.10153192
310,57.03527159,45.92188517
311,55.32042089,45.49640031
312,54.51977239,46.43840237
313,55.60082768,43.02314403
314,54.9529697,48.27061858
315,64.67484183,71.65461532
316,61.97616799,76.6611817
317,62.73011881,87.80020995
318,62.52634033,88.84647544
319,63.23077724,88.00536365
320,61.65892937,90.68610109
321,64.25516406,84.17162477
322,63.47710022,82.3684915
323,60.65577448,1.45E+02
324,59.94991587,1.46E+02
325,59.40258752,1.49E+02
326,59.4662537,1.60E+02
327,61.37000273,1.46E+02
328,60.62079677,1.59E+02
329,60.35896191,1.53E+02
330,60.20710616,1.60E+02
331,1.46E+02,2.14E+02
332,1.45E+02,1.90E+02
333,1.32E+02,1.54E+02
334,1.32E+02,2.10E+02
335,1.56E+02,1.80E+02
336,1.61E+02,1.78E+02
337,1.56E+02,3.41E+02
338,1.58E+02,3.46E+02
339,87.2718763,1.30E+02
340,86.1757915,3.26E+02
341,1.01E+02,3.29E+02
342,99.87500573,3.42E+02
343,96.72737339,3.06E+02
344,97.65041471,3.04E+02
345,94.2699072,3.81E+02
346,93.84972277,3.86E+02
347,1.69E+02,2.81E+02
348,1.67E+02,2.77E+02
349,1.57E+02,3.91E+02
350,1.55E+02,3.55E+02
351,1.67E+02,4.09E+02
352,1.58E+02,3.51E+02
353,1.57E+02,3.86E+02
354,1.57E+02,3.42E+02
355,1.82E+02,2.61E+02
356,1.76E+02,2.51E+02
357,1.72E+02,2.65E+02
358,1.70E+02,2.40E+02
359,1.81E+02,2.97E+02
360,1.78E+02,2.75E+02
361,1.67E+02,2.85E+02
362,1.61E+02,2.59E+02
363,2.69E+02,2.95E+02
364,2.71E+02,2.59E+02
365,2.69E+02,2.94E+02
366,2.56E+02,2.77E+02
367,2.50E+02,2.50E+02
368,2.46E+02,2.44E+02
369,2.15E+02,2.60E+02
370,2.16E+02,2.38E+02
371,2.23E+02,3.65E+02
372,2.21E+02,3.54E+02
373,2.17E+02,3.77E+02
374,2.18E+02,3.48E+02
375,2.17E+02,3.57E+02
376,2.17E+02,3.69E+02
377,2.15E+02,3.78E+02
378,2.17E+02,3.47E+02
379,2.89E+02,2.68E+02
380,2.92E+02,2.59E+02
381,3.50E+02,2.72E+02
382,3.46E+02,2.88E+02
383,3.54E+02,2.40E+02
384,3.44E+02,2.68E+02
385,3.06E+02,2.58E+02
386,2.68E+02,2.53E+02
387,2.72E+02,4.24E+02
388,2.74E+02,4.43E+02
389,2.68E+02,3.98E+02
390,2.68E+02,4.98E+02
391,2.71E+02,4.55E+02
392,2.69E+02,4.75E+02
393,2.65E+02,4.70E+02
394,2.66E+02,4.56E+02
395,2.58E+02,5.25E+02
396,2.51E+02,4.83E+02
397,2.52E+02,4.13E+02
398,2.51E+02,4.44E+02
399,2.46E+02,4.46E+02
400,2.47E+02,4.36E+02
401,2.47E+02,4.73E+02
402,2.50E+02,4.75E+02
403,3.02E+02,5.50E+02
404,3.01E+02,5.13E+02
405,2.97E+02,6.06E+02
406,2.98E+02,6.30E+02
407,3.01E+02,6.68E+02
408,3.02E+02,6.85E+02
409,3.07E+02,6.27E+02
410,3.05E+02,6.07E+02
411,3.09E+02,5.94E+02
412,3.09E+02,5.84E+02
413,2.90E+02,5.83E+02
414,2.94E+02,5.79E+02
415,2.96E+02,6.09E+02
416,2.97E+02,6.30E+02
417,3.08E+02,6.39E+02
418,3.06E+02,6.72E+02
419,3.05E+02,5.68E+02
420,2.95E+02,6.06E+02
421,2.95E+02,5.50E+02
422,2.96E+02,5.78E+02
423,2.92E+02,5.35E+02
424,2.95E+02,5.93E+02
425,2.92E+02,5.75E+02
426,2.90E+02,6.16E+02
427,3.41E+02,3.59E+02
428,3.40E+02,3.90E+02
429,3.24E+02,3.58E+02
430,3.21E+02,3.67E+02
431,3.14E+02,3.99E+02
432,3.16E+02,4.28E+02
433,3.15E+02,3.87E+02
434,3.16E+02,4.35E+02
435,3.27E+02,5.15E+02
436,3.23E+02,5.23E+02
437,3.32E+02,5.19E+02
438,3.27E+02,5.01E+02
439,3.32E+02,5.99E+02
440,3.29E+02,5.83E+02
441,3.17E+02,6.34E+02
442,3.10E+02,6.33E+02
443,6.00E+02,9.23E+02
444,5.93E+02,9.06E+02
445,5.90E+02,8.36E+02
446,5.80E+02,5.22E+02
447,5.64E+02,5.16E+02
448,5.71E+02,5.61E+02
449,5.64E+02,6.96E+02
450,5.61E+02,6.69E+02
451,5.18E+02,8.29E+02
452,5.11E+02,8.38E+02
453,5.38E+02,6.52E+02
454,5.42E+02,6.98E+02
455,5.27E+02,7.89E+02
456,5.32E+02,8.44E+02
457,5.21E+02,6.38E+02
458,5.30E+02,6.35E+02
459,5.84E+02,1.16E+03
460,5.77E+02,1.15E+03
461,6.69E+02,8.91E+02
462,6.63E+02,8.96E+02
463,5.56E+02,9.34E+02
464,5.59E+02,9.94E+02
465,6.09E+02,9.59E+02
466,6.12E+02,9.96E+02
467,4.81E+02,7.57E+02
468,4.59E+02,7.42E+02
469,4.59E+02,8.63E+02
470,4.57E+02,8.75E+02
471,4.81E+02,8.77E+02
472,4.78E+02,8.61E+02
473,4.50E+02,5.46E+02
474,4.55E+02,5.58E+02
475,3.95E+02,1.13E+03
476,3.88E+02,1.03E+03
477,4.38E+02,1.01E+03
478,4.22E+02,1.04E+03
479,4.27E+02,8.84E+02
480,4.26E+02,8.97E+02
481,4.20E+02,9.10E+02
482,4.18E+02,9.47E+02
483,3.54E+02,8.35E+02
484,4.05E+02,8.35E+02
485,4.01E+02,7.42E+02
486,3.94E+02,7.43E+02
487,3.88E+02,6.54E+02
488,3.89E+02,6.83E+02
489,3.85E+02,8.44E+02
490,3.88E+02,8.60E+02
491,4.10E+02,8.52E+02
492,4.03E+02,8.86E+02
493,4.54E+02,8.20E+02
494,4.52E+02,8.78E+02
495,4.30E+02,9.73E+02
496,4.25E+02,9.86E+02
497,4.19E+02,9.92E+02
498,4.14E+02,9.96E+02
499,4.39E+02,9.26E+02
500,4.57E+02,8.84E+02
501,4.52E+02,8.05E+02
502,4.46E+02,8.75E+02
503,4.31E+02,8.99E+02
504,4.30E+02,1.07E+03
505,4.21E+02,1.13E+03
506,4.19E+02,1.31E+03
507,6.15E+02,9.86E+02
508,6.08E+02,1.04E+03
509,6.13E+02,7.69E+02
510,6.06E+02,8.08E+02
511,6.07E+02,8.88E+02
512,6.09E+02,9.05E+02
513,5.86E+02,8.84E+02
514,5.88E+02,1.03E+03
515,1.04E+03,1.34E+03
516,1.03E+03,1.31E+03
517,1.04E+03,1.41E+03
518,8.69E+02,1.49E+03
519,8.67E+02,1.53E+03
520,8.62E+02,1.66E+03
521,9.34E+02,1.41E+03
522,9.38E+02,1.42E+03
523,6.51E+02,2.90E+02
524,6.47E+02,2.94E+02
525,5.93E+02,3.23E+02
526,5.79E+02,3.56E+02
527,5.55E+02,3.53E+02
528,5.54E+02,4.09E+02
529,5.46E+02,4.14E+02
530,5.35E+02,3.91E+02
